Started 131. Target = 1000000
1. p=7, n=1 	 pix=4, nroot=1, xroot=1
2. p=19, n=8 	 pix=8, nroot=2, xroot=11
3. p=37, n=27 	 pix=12, nroot=3, xroot=35
4. p=61, n=64 	 pix=18, nroot=4, xroot=79
5. p=127, n=216 	 pix=31, nroot=6, xroot=251
6. p=271, n=729 	 pix=58, nroot=9, xroot=809
7. p=331, n=1000 	 pix=67, nroot=10, xroot=1099
8. p=397, n=1331 	 pix=78, nroot=11, xroot=1451
9. p=547, n=2197 	 pix=101, nroot=13, xroot=2365
10. p=631, n=2744 	 pix=115, nroot=14, xroot=2939
11. p=919, n=4913 	 pix=157, nroot=17, xroot=5201
12. p=1657, n=12167 	 pix=260, nroot=23, xroot=12695
13. p=1801, n=13824 	 pix=279, nroot=24, xroot=14399
14. p=1951, n=15625 	 pix=297, nroot=25, xroot=16249
15. p=2269, n=19683 	 pix=337, nroot=27, xroot=20411
16. p=2437, n=21952 	 pix=361, nroot=28, xroot=22735
17. p=2791, n=27000 	 pix=406, nroot=30, xroot=27899
18. p=3169, n=32768 	 pix=449, nroot=32, xroot=33791
19. p=3571, n=39304 	 pix=500, nroot=34, xroot=40459
20. p=4219, n=50653 	 pix=578, nroot=37, xroot=52021
21. p=4447, n=54872 	 pix=604, nroot=38, xroot=56315
22. p=5167, n=68921 	 pix=688, nroot=41, xroot=70601
23. p=5419, n=74088 	 pix=716, nroot=42, xroot=75851
24. p=6211, n=91125 	 pix=808, nroot=45, xroot=93149
25. p=7057, n=110592 	 pix=907, nroot=48, xroot=112895
26. p=7351, n=117649 	 pix=937, nroot=49, xroot=120049
27. p=8269, n=140608 	 pix=1037, nroot=52, xroot=143311
28. p=9241, n=166375 	 pix=1146, nroot=55, xroot=169399
29. p=10267, n=195112 	 pix=1259, nroot=58, xroot=198475
30. p=11719, n=238328 	 pix=1407, nroot=62, xroot=242171
31. p=12097, n=250047 	 pix=1447, nroot=63, xroot=254015
32. p=13267, n=287496 	 pix=1577, nroot=66, xroot=291851
