4445,7142,11994,12712,14921,17133,17787,22135,25214,32035,39703,42979,51853,56043,59828,62580,72053,79870,87844,78308,85646,89080,93821,97021,101189,106666,103033,103814,106164,106855,110369,116249,119394,127027,134226,138009,143075,150562,152571,153655,162640,157458,158330,166939,174990,171266,180802,186552,191583,196060,195625,196478,195570,205291,208288,209047,209411,218236,218759,221773,223886,231008,238058,244833,246474,249232,243541,247080,247428,255417,258152,268014,262480,270569,276109,285571,283340,286098,289846,295716
5541,5561,6879,14465,19632,19775,19230,24971,32592,39065,44591,47223,49571,54212,64039,64210,71128,74970,78707,77549,79308,85839,82803,88800,92771,94327,90784,96932,100219,102093,110074,118498,126170,132325,138661,137120,135805,140813,144864,149590,151930,152276,154127,160590,162707,165710,169117,177328,177445,182267,183584,186439,190873,196798,202385,200003,201178,205351,206041,215019,222489,222590,226389,235113,234180,244029,235976,239296,246364,255997,255987,261124,254871,261454,263362,273345,273826,278013,287366,296743
15148,12946,7400,13484,14848,23831,26853,26556,33491,42042,41618,48789,53080,56914,59678,61762,64431,69087,78430,77249,72192,81520,80709,81845,87694,86177,88437,93555,100059,101898,111125,112384,121835,116512,123608,122147,126471,134986,140657,132539,137854,145425,147581,151906,153309,151396,157834,161649,170862,173142,177690,173806,179348,186255,187712,188871,194691,203766,208393,207347,216595,214963,219070,226008,224339,228979,229026,232663,232972,240316,247271,247617,247995,257039,265674,273140,278176,287528,293751,302981
22354,16060,15160,14578,20728,25910,33268,33943,37988,38943,39044,40522,48299,55265,62275,68802,67334,65937,69433,69540,69989,78260,72442,75390,81575,82359,88296,96297,102401,108762,106855,110497,111207,113597,114172,114887,117976,124940,129157,129349,135298,142304,143019,146347,147499,147565,155609,159573,161308,161454,166272,171728,178179,179673,178891,183672,190471,191073,192577,198822,205372,206789,208132,210495,214280,219728,224273,233644,238392,243460,248073,252499,252236,257279,265152,273194,281628,285567,294823,297010
25974,23761,15737,24575,28105,33592,34582,35101,41383,45253,40940,43031,48467,50199,59679,60385,60881,60982,67214,74589,69895,72201,72311,79083,82516,85237,93377,99310,106051,100217,102427,109759,115931,118264,121505,118931,120267,122057,124503,131893,140591,146314,146697,153451,149324,149605,149745,153727,158632,162792,164992,170033,172545,174033,176301,177476,185064,193385,200655,206134,206349,211606,216597,215563,217733,220829,222480,230386,230639,239889,245910,254701,260345,263930,267342,267687,272465,277617,282282,289787
27048,29199,24745,27254,32651,38080,37234,38504,39274,48462,45188,45524,49885,58212,67799,61092,70406,66895,65461,67360,67688,70564,74168,74841,83417,89447,95980,94832,97363,98818,104091,110678,109849,111598,114821,115425,125350,128998,127326,136093,143132,146422,149636,151423,157228,153026,156882,163287,167083,165461,174211,176365,174121,179510,183056,185824,189228,193535,196519,200531,207160,208204,211078,217619,222561,221732,223136,232261,235799,244635,248980,251561,252021,260459,261997,267504,268172,271524,274202,281144
31343,30375,30341,28775,31836,41704,44271,45633,48207,54866,51135,50587,53538,62985,70852,63771,64538,65252,65368,73926,67851,71778,80557,74999,80092,82539,88321,92288,94004,94935,102707,110871,106784,116028,118716,123201,126627,135489,133340,135670,142617,144394,147506,152098,154767,154932,160884,161198,165800,174455,180130,185579,178116,183142,190744,192633,194231,196663,199028,206505,204233,213204,213545,222084,222657,226421,229479,231019,234011,239281,244528,253788,254290,261764,262806,269968,273378,272756,277312,282069
31853,33931,35558,30181,35902,40848,43483,51330,52458,60751,59416,56938,58450,58737,61607,64987,68486,70574,69208,73946,77414,73684,79982,78233,87192,84101,90398,99233,101865,95174,101792,103114,105667,107880,112933,118379,122781,129281,134463,143048,149517,150150,154484,145827,151013,158167,164165,169195,173881,182486,179374,182387,180737,182318,183050,192614,193696,195549,200991,202333,202853,204590,208293,213614,218407,221183,222691,224338,233439,235938,242829,247165,254177,257506,260718,262160,272153,276141,281071,288777
41297,37332,41449,39897,37130,44237,43592,47155,49855,56016,61055,61930,60692,67278,68979,67054,68348,71406,70514,70834,79715,79440,87970,78644,87294,92925,95893,104175,105571,97174,98402,106219,107766,114239,116504,122498,126945,128244,134235,134778,142652,144949,144823,144924,147017,150480,159669,166541,172659,173531,174539,176318,179123,188207,187098,189221,195098,195153,198228,199965,209424,209125,214746,217258,217366,223348,227128,229551,230891,237858,247801,252980,252219,260293,262131,269110,278242,284106,276831,281879
44624,41362,48539,46233,47063,49533,46213,50998,52610,57442,59954,62072,62936,67343,69513,67553,75085,81148,75565,78521,79491,86364,86865,83338,88483,89789,91954,97894,100319,106084,101915,103824,110807,111153,117530,121834,131164,135447,140840,138487,141833,142803,143172,152909,152828,154907,164846,168539,176975,179097,176516,180046,181522,185507,193810,191713,197079,204955,207421,207261,208294,213354,222498,220024,218517,226146,231315,235546,230949,238568,246133,250341,249773,256052,259261,264169,273393,273014,274339,282879
