Started 131. Target = 1000000
1. p=7, n=1 	 pix=4, nroot=1, xroot=2
64. p=96661, n=5735339 	 pix=9305, nroot=179, xroot=5767380
65. p=102121, n=6229504 	 pix=9781, nroot=184, xroot=6263360
66. p=103231, n=6331625 	 pix=9871, nroot=185, xroot=6365850
67. p=104347, n=6434856 	 pix=9965, nroot=186, xroot=6469452
68. p=110017, n=6967871 	 pix=10454, nroot=191, xroot=7004352
69. p=112327, n=7189057 	 pix=10651, nroot=193, xroot=7226306
70. p=114661, n=7414875 	 pix=10844, nroot=195, xroot=7452900
71. p=115837, n=7529536 	 pix=10947, nroot=196, xroot=7567952
72. p=126691, n=8615125 	 pix=11878, nroot=205, xroot=8657150
73. p=129169, n=8869743 	 pix=12090, nroot=207, xroot=8912592
74. p=131671, n=9129329 	 pix=12298, nroot=209, xroot=9173010
75. p=135469, n=9528128 	 pix=12621, nroot=212, xroot=9573072
76. p=140617, n=10077696 	 pix=13062, nroot=216, xroot=10124352
77. p=144541, n=10503459 	 pix=13385, nroot=219, xroot=10551420
78. p=145861, n=10648000 	 pix=13496, nroot=220, xroot=10696400
79. p=151201, n=11239424 	 pix=13950, nroot=224, xroot=11289600
80. p=155269, n=11697083 	 pix=14295, nroot=227, xroot=11748612
81. p=163567, n=12649337 	 pix=14978, nroot=233, xroot=12703626
82. p=169219, n=13312053 	 pix=15430, nroot=237, xroot=13368222
83. p=170647, n=13481272 	 pix=15555, nroot=238, xroot=13537916
84. p=176419, n=14172488 	 pix=16034, nroot=242, xroot=14231052
85. p=180811, n=14706125 	 pix=16407, nroot=245, xroot=14766150
86. p=189757, n=15813251 	 pix=17148, nroot=251, xroot=15876252
87. p=200467, n=17173512 	 pix=18024, nroot=258, xroot=17240076
88. p=202021, n=17373979 	 pix=18150, nroot=259, xroot=17441060
89. p=213067, n=18821096 	 pix=19051, nroot=266, xroot=18891852
90. p=231019, n=21253933 	 pix=20524, nroot=277, xroot=21330662
91. p=234361, n=21717639 	 pix=20780, nroot=279, xroot=21795480
92. p=241117, n=22665187 	 pix=21312, nroot=283, xroot=22745276
93. p=246247, n=23393656 	 pix=21733, nroot=286, xroot=23475452
94. p=251431, n=24137569 	 pix=22155, nroot=289, xroot=24221090
95. p=260191, n=25412184 	 pix=22851, nroot=294, xroot=25498620
96. p=263737, n=25934336 	 pix=23128, nroot=296, xroot=26021952
97. p=267307, n=26463592 	 pix=23418, nroot=298, xroot=26552396
98. p=276337, n=27818127 	 pix=24150, nroot=303, xroot=27909936
99. p=279991, n=28372625 	 pix=24432, nroot=305, xroot=28465650
100. p=283669, n=28934443 	 pix=24730, nroot=307, xroot=29028692
101. p=285517, n=29218112 	 pix=24880, nroot=308, xroot=29312976
